0,0,1,2,3,4
4,4,"(('a', ('a', 'b')), (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,mul,9.805689102564102
5,5,"(('a', ('a', 'b')), (('a', ('a', 'b')), (('a', 'b'), ('a', ('a', 'b')))))",softsign,sub,9.805689102564102
0,0,"('a', 'b')",sigmoid,div,9.805689102564102
1,1,"('a', ('a', 'b'))",elu,mul,9.805689102564102
2,2,"(('a', 'b'), ('a', ('a', 'b')))",softsign,div,9.805689102564102
3,3,"('a', (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,div,9.805689102564102
4,4,"(('a', ('a', 'b')), (('a', 'b'), ('a', ('a', 'b'))))",softsign,add,9.805689102564102
5,5,"('b', ('a', 'b'))",elu,add,9.805689102564102
0,0,"('a', 'b')",sigmoid,add,87.25961538461539
1,1,"('b', ('a', 'b'))",elu,mul,87.25961538461539
2,2,"('b', ('b', ('a', 'b')))",sigmoid,sub,87.25961538461539
3,3,"(('b', ('a', 'b')), ('b', ('b', ('a', 'b'))))",sigmoid,sub,87.25961538461539
4,4,"(('a', 'b'), ('b', ('b', ('a', 'b'))))",softsign,sub,87.25961538461539
5,5,"('b', (('b', ('a', 'b')), ('b', ('b', ('a', 'b')))))",elu,div,87.25961538461539
0,0,"('a', 'b')",softsign,sub,9.795673076923077
1,1,"('b', ('a', 'b'))",elu,div,9.795673076923077
2,2,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,div,9.795673076923077
3,3,"(('a', 'b'), (('a', 'b'), ('b', ('a', 'b'))))",softsign,add,9.795673076923077
4,4,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,add,9.795673076923077
5,5,"(('a', 'b'), (('a', 'b'), (('a', 'b'), ('b', ('a', 'b')))))",elu,sub,9.795673076923077
0,0,"('a', 'b')",sigmoid,sub,84.12459935897436
1,1,"('b', ('a', 'b'))",elu,div,84.12459935897436
2,2,"('a', ('b', ('a', 'b')))",softsign,sub,84.12459935897436
3,3,"(('a', 'b'), ('a', ('b', ('a', 'b'))))",softsign,add,84.12459935897436
4,4,"(('a', 'b'), (('a', 'b'), ('a', ('b', ('a', 'b')))))",sigmoid,sub,84.12459935897436
5,5,"('b', (('a', 'b'), (('a', 'b'), ('a', ('b', ('a', 'b'))))))",softsign,div,84.12459935897436
0,0,"('a', 'b')",sigmoid,mul,85.64703525641026
1,1,"('a', ('a', 'b'))",softsign,div,85.64703525641026
2,2,"('b', ('a', ('a', 'b')))",sigmoid,mul,85.64703525641026
3,3,"(('a', 'b'), ('b', ('a', ('a', 'b'))))",softsign,add,85.64703525641026
4,4,"(('a', ('a', 'b')), ('b', ('a', ('a', 'b'))))",sigmoid,add,85.64703525641026
5,5,"('a', (('a', ('a', 'b')), ('b', ('a', ('a', 'b')))))",softsign,div,85.64703525641026
0,0,"('a', 'b')",sigmoid,div,9.765625
1,1,"('a', ('a', 'b'))",sigmoid,mul,9.765625
2,2,"('b', ('a', 'b'))",elu,mul,9.765625
3,3,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,mul,9.765625
4,4,"(('a', 'b'), (('a', 'b'), ('b', ('a', 'b'))))",elu,add,9.765625
5,5,"(('b', ('a', 'b')), (('a', 'b'), (('a', 'b'), ('b', ('a', 'b')))))",elu,mul,9.765625
0,0,"('a', 'b')",softsign,div,9.805689102564102
1,1,"('a', ('a', 'b'))",elu,div,9.805689102564102
2,2,"('a', ('a', ('a', 'b')))",elu,add,9.805689102564102
3,3,"(('a', 'b'), ('a', ('a', ('a', 'b'))))",elu,sub,9.805689102564102
4,4,"('b', ('a', 'b'))",softsign,mul,9.805689102564102
5,5,"(('a', 'b'), (('a', 'b'), ('a', ('a', ('a', 'b')))))",softsign,sub,9.805689102564102
0,0,"('a', 'b')",elu,div,9.815705128205128
